identifier;title;courseCredits;Center;AcademicDepartment;isCurrentlyOffered;TeachingUniversity;Term;YearOfStudy;ClassHours;MonitoringHours;NonAttendanceHours;courseHours;typology;BacherlorsDegree;homepage;EnglishFriendly;TeachingStaff
"G1903";"Advanced Statistics";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";40;10;79;130;"OPTATIVA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G1903&p=68";"Si";"1 - Profesor Titular de Universidad;"
"G320";"Álgebra";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";45;15;75;135;"BÁSICA";"Grado en Ingeniería Química";"https://web.unican.es/estudios/detalle-asignatura?c=G320&p=113";"Si";"1 - Profesor Ayudante Doctor; 1 - Profesor Titular de Universidad;"
"G116";"Álgebra Computacional";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;15;75;150;"OPTATIVA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G116&p=68";"No";"1 - Profesor Contratado Doctor;"
"G92";"Álgebra Conmutativa";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;15;75;150;"OBLIGATORIA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G92&p=68";"Si";"1 - Profesor Titular de Universidad;"
"G42";"Álgebra Lineal I";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";60;16;74;150;"BÁSICA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G42&p=68";"Si";"1 - Profesor Permanente Laboral;"
"G89";"Álgebra Lineal II";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;15;75;150;"OBLIGATORIA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G89&p=68";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor de Sustitución;"
"G89";"Álgebra Lineal II";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;15;75;150;"OBLIGATORIA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G89&p=68";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor de Sustitución;"
"G263";"Álgebra Lineal y Discreta";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";60;15;75;150;"BÁSICA";"Grado en Ingeniería Informática";"https://web.unican.es/estudios/detalle-asignatura?c=G263&p=98";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor Contratado Doctor;"
"G377";"Álgebra Lineal y Geometría";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";52;14;76;142;"BÁSICA";"Grado en Ingeniería de los Recursos Energéticos";"https://web.unican.es/estudios/detalle-asignatura?c=G377&p=101";"Si";"1 - Profesor Ayudante Doctor;"
"G387";"Álgebra Lineal y Geometría";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";52;14;76;142;"BÁSICA";"Grado en Ingeniería de los Recursos Mineros";"https://web.unican.es/estudios/detalle-asignatura?c=G387&p=102";"Si";"1 - Profesor Ayudante Doctor;"
"G1954";"Álgebra y Geometría";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS DE CAMINOS, CANALES Y PUERTOS";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";48;15;75;138;"BÁSICA";"Grado en Ingeniería Civil";"https://web.unican.es/estudios/detalle-asignatura?c=G1954&p=212";"Si";"1 - Profesor Contratado Doctor; 1 - Profesor Titular de Universidad;"
"G273";"Álgebra y Geometría";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";45;15;75;135;"BÁSICA";"Grado en Ingeniería en Electrónica Industrial y Automática";"https://web.unican.es/estudios/detalle-asignatura?c=G273&p=107";"No";"1 - Profesor Asociado; 1 - Profesor Ayudante Doctor;"
"G282";"Álgebra y Geometría";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";45;15;75;135;"BÁSICA";"Grado en Ingeniería de Tecnologías de Telecomunicación";"https://web.unican.es/estudios/detalle-asignatura?c=G282&p=99";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor Contratado Doctor;"
"G405";"Álgebra y Geometría";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";45;15;75;135;"BÁSICA";"Grado en Ingeniería Eléctrica";"https://web.unican.es/estudios/detalle-asignatura?c=G405&p=103";"No";"1 - Profesor Asociado; 1 - Profesor Ayudante Doctor;"
"G414";"Álgebra y Geometría";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";45;22;67;135;"BÁSICA";"Grado en Ingeniería en Tecnologías Industriales";"https://web.unican.es/estudios/detalle-asignatura?c=G414&p=108";"No";"2 - Profesor Ayudante Doctor;"
"G423";"Álgebra y Geometría";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";45;15;75;135;"BÁSICA";"Grado en Ingeniería Mecánica";"https://web.unican.es/estudios/detalle-asignatura?c=G423&p=109";"Si";"2 - Profesor Ayudante Doctor; 1 - Profesor Contratado Doctor;"
"G652";"Algorítmica y Complejidad";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";40;15;75;130;"OBLIGATORIA";"Grado en Ingeniería Informática";"https://web.unican.es/estudios/detalle-asignatura?c=G652&p=98";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor de Sustitución;"
"G652";"Algorítmica y Complejidad";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";40;15;75;130;"OPTATIVA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G652&p=68";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor de Sustitución;"
"G652";"Algorítmica y Complejidad";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";40;15;75;130;"OBLIGATORIA";"Grado en Ingeniería Informática";"https://web.unican.es/estudios/detalle-asignatura?c=G652&p=98";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor de Sustitución;"
"G652";"Algorítmica y Complejidad";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";40;15;75;130;"OPTATIVA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G652&p=68";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor de Sustitución;"
"G1507";"Alimentación y Nutrición Aplicadas";6,00;"ESCUELA UNIVERSITARIA DE FISIOTERAPIA 'GIMBERNAT CANTABRIA'";;False;;;"4";0;0;0;0;"OPTATIVA";"Grado en Fisioterapia";"https://web.unican.es/estudios/detalle-asignatura?c=G1507&p=78";;
"G830";"Alimentación y Sistemas Electrónicos";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. TECNOLOGIA ELECTRONICA E INGENIERIA DE SISTEMAS Y AUTOMATICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;25;65;150;"OPTATIVA";"Grado en Ingeniería de Tecnologías de Telecomunicación";"https://web.unican.es/estudios/detalle-asignatura?c=G830&p=99";"Si";"1 - Profesor Titular de Universidad;"
"G792";"Ampliación de  Termodinámica";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. INGENIERIAS QUIMICA Y BIOMOLECULAR";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";20;23;67;110;"OPTATIVA";"Grado en Ingeniería Química";"https://web.unican.es/estudios/detalle-asignatura?c=G792&p=113";"Si";"1 - Catedrático de Universidad; 1 - Profesor Titular de Universidad;"
"G113";"Ampliación de Álgebra";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;15;75;150;"OPTATIVA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G113&p=68";"Si";"1 - Profesor Ayudante Doctor; 1 - Profesor Permanente Laboral;"
"G107";"Ampliación de Análisis";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;25;65;150;"OPTATIVA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G107&p=68";"Si";"1 - Profesor Titular de Universidad;"
"G711";"Ampliación de Automática";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. TECNOLOGIA ELECTRONICA E INGENIERIA DE SISTEMAS Y AUTOMATICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;16;74;150;"OBLIGATORIA";"Grado en Ingeniería en Tecnologías Industriales";"https://web.unican.es/estudios/detalle-asignatura?c=G711&p=108";"No";"2 - Profesor Contratado Doctor;"
"G321";"Ampliación de Cálculo";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";45;15;75;135;"BÁSICA";"Grado en Ingeniería Química";"https://web.unican.es/estudios/detalle-asignatura?c=G321&p=113";"No";"1 - Catedrático de Universidad; 1 - Profesor Ayudante Doctor;"
"G84";"Ampliación de Cálculo Diferencial";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;15;75;150;"OBLIGATORIA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G84&p=68";"Si";"1 - Catedrático de Universidad; 1 - Profesor Titular de Universidad;"
"G84";"Ampliación de Cálculo Diferencial";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;15;75;150;"OBLIGATORIA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G84&p=68";"Si";"1 - Catedrático de Universidad; 1 - Profesor Titular de Universidad;"
"G86";"Ampliación de Cálculo Integral";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;25;65;150;"OBLIGATORIA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G86&p=68";"No";"1 - Catedrático de Universidad;"
"G86";"Ampliación de Cálculo Integral";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;25;65;150;"OBLIGATORIA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G86&p=68";"No";"1 - Catedrático de Universidad;"
"G710";"Ampliación de Electrónica";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. TECNOLOGIA ELECTRONICA E INGENIERIA DE SISTEMAS Y AUTOMATICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;25;65;150;"OBLIGATORIA";"Grado en Ingeniería en Tecnologías Industriales";"https://web.unican.es/estudios/detalle-asignatura?c=G710&p=108";"Si";"2 - Profesor Titular de Universidad;"
"G1696";"Ampliación de Electrónica de Potencia";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";;False;;"Cuatrimestral";"4";0;0;0;0;"OPTATIVA";"Grado en Ingeniería en Electrónica Industrial y Automática";"https://web.unican.es/estudios/detalle-asignatura?c=G1696&p=107";;
"G883";"Ampliación de Energías Renovables";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. INGENIERIA ELECTRICA Y ENERGETICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";52;15;75;142;"OPTATIVA";"Grado en Ingeniería Eléctrica";"https://web.unican.es/estudios/detalle-asignatura?c=G883&p=103";"No";"1 - Profesor Asociado; 1 - Profesor Titular de Universidad;"
"G612";"Ampliación de Ingeniería Nuclear y Ciclo del Combustible";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. INGENIERIA ELECTRICA Y ENERGETICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";50;6;84;140;"OPTATIVA";"Grado en Ingeniería de los Recursos Energéticos";"https://web.unican.es/estudios/detalle-asignatura?c=G612&p=101";"No";"1 - Profesor Asociado; 1 - Profesor Contratado Doctor;"
"G877";"Ampliación de Líneas e Instalaciones Eléctricas de Alta Tensión";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. INGENIERIA ELECTRICA Y ENERGETICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";50;20;70;140;"OBLIGATORIA";"Grado en Ingeniería Eléctrica";"https://web.unican.es/estudios/detalle-asignatura?c=G877&p=103";"No";"2 - Profesor Ayudante Doctor; 1 - Profesor Titular  Escuela Universitaria; 1 - Profesor Titular de Universidad;"
"G1963";"Ampliación de Matemáticas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS DE CAMINOS, CANALES Y PUERTOS";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";40;20;70;130;"BÁSICA";"Grado en Ingeniería Civil";"https://web.unican.es/estudios/detalle-asignatura?c=G1963&p=212";"Si";"1 - Catedrático de Universidad;"
"G1963";"Ampliación de Matemáticas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS DE CAMINOS, CANALES Y PUERTOS";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";40;20;70;130;"BÁSICA";"Grado en Ingeniería Civil";"https://web.unican.es/estudios/detalle-asignatura?c=G1963&p=212";"Si";"1 - Catedrático de Universidad;"
"G585";"Ampliación de Matemáticas";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";52;16;74;142;"OBLIGATORIA";"Grado en Ingeniería de los Recursos Energéticos";"https://web.unican.es/estudios/detalle-asignatura?c=G585&p=101";"Si";"2 - Profesor Permanente Laboral;"
"G585";"Ampliación de Matemáticas";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";52;16;74;142;"OBLIGATORIA";"Grado en Ingeniería de los Recursos Energéticos";"https://web.unican.es/estudios/detalle-asignatura?c=G585&p=101";"Si";"2 - Profesor Permanente Laboral;"
"G616";"Ampliación de Matemáticas";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";52;16;74;142;"OBLIGATORIA";"Grado en Ingeniería de los Recursos Mineros";"https://web.unican.es/estudios/detalle-asignatura?c=G616&p=102";"Si";"2 - Profesor Permanente Laboral;"
"G616";"Ampliación de Matemáticas";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. MATEMATICA APLICADA Y CIENCIAS DE LA COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";52;16;74;142;"OBLIGATORIA";"Grado en Ingeniería de los Recursos Mineros";"https://web.unican.es/estudios/detalle-asignatura?c=G616&p=102";"Si";"2 - Profesor Permanente Laboral;"
"G769";"Ampliación de Química";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. DE QUIMICA E INGENIERIA DE PROCESOS Y RECURSOS.";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;20;70;150;"OBLIGATORIA";"Grado en Ingeniería Química";"https://web.unican.es/estudios/detalle-asignatura?c=G769&p=113";"Si";"1 - Catedrático de Universidad; 1 - Profesor Ayudante Doctor;"
"G769";"Ampliación de Química";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. DE QUIMICA E INGENIERIA DE PROCESOS Y RECURSOS.";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;20;70;150;"OBLIGATORIA";"Grado en Ingeniería Química";"https://web.unican.es/estudios/detalle-asignatura?c=G769&p=113";"Si";"1 - Catedrático de Universidad; 1 - Profesor Ayudante Doctor;"
"G891";"Análisis Contable";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;7;82;150;"OBLIGATORIA";"Grado en Administración y Dirección de Empresas";"https://web.unican.es/estudios/detalle-asignatura?c=G891&p=116";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor de Sustitución; 1 - Profesor Permanente Laboral;"
